"brand","name","description_full","sku","upc","price","price_numeric","description_short","image_1","image_2","image_3","image_4","image_5","image_6","image_7","image_8","image_9"
"Asgard","Asgard 3"" Angle Head","The Asgard® Adjustable Angle Head perfectly feathers the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool's “adjustable” feature refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the angle head. Angle Heads, or Angle Finishers or Corner Finishers, are attached to the CA08-AD corner applicator to quickly and professionally finish internal drywall corners. The 3” Asgard Angle Head has wheels to provide the smoothest action on the wall and is spring-loaded to help compensate for slightly imperfect corners. The Angle Head is also part of the Taping process when attached to the FH-AD or XH-AD support handles with the CFA-AD adapter.","AH30-AD","873876004553","$338.00","338.0","The Asgard® Adjustable Angle Head perfectly feathers the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool's “adjustable” feature refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the angle head. Angle Heads, or Angle Finishers or Corner Finishers, are attached to the CA08-AD corner applicator to q","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4105/5902/asgard-3-angle-head__37619.1750258425.jpg?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4105/5901/asgard-3-angle-head_1__36898.1750258425.jpg?c=1&imbypass=on","","","","","","",""
"Asgard","Asgard 3"" Nail Spotter","Asgard 3"" Nail Spotter: Advanced Drywall Tools

Discover the unparalleled durability and functionality of Asgard Taping Tools by TapeTech without the added markup. The Asgard 3"" Nail Spotter is a versatile tool for any job size, perfect as a single spotter system. It features an EasyClean® Lid, a quick-release latch, and a gasket system similar to a flat box, allowing easy access and hassle-free clean-up. The traditional style skid plate serves as both a pivot point and screw detector, preventing blade damage. This nail spotter includes an NSA-TT adapter, which attaches to the interchangeable fiberglass handle (FHTT) and interchangeable extendable handle (XHTT) and is sold separately. This spotter is constructed from high-quality stainless steel and is built to last and resist rust and deterioration.","NS03-AD","873876004614","$270.00","270.0","Discover the unparalleled durability and functionality of Asgard Taping Tools by TapeTech without the added markup. The Asgard 3"" Nail Spotter is a versatile tool for any job size, perfect as a single spotter system. It features an EasyClean® Lid, a quick-release latch, and a gasket system similar to a flat box, allowing easy access and hassle-free clean-up. The traditional style skid plate serves as both a pivot point and screw detector, preventing blade damage. This nail spotter includes an NS","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3921/5972/NS03-AD_Flat__26021.1752517489.png?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3921/5971/NS03-AD_Hero_1__36352.1752517489.png?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3921/5970/NS03-AD_Upright__61529.1752517489.png?c=1&imbypass=on","","","","","",""
"Asgard","Asgard 3.5"" Angle Head","The Asgard® Adjustable Angle Head perfectly feathers the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool's “adjustable” feature refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the angle head. Angle Heads, or Angle Finishers or Corner Finishers, are attached to the CA08-AD corner applicator to quickly and professionally finish internal drywall corners. The 3” Asgard Angle Head has wheels to provide the smoothest action on the wall and is spring-loaded to help compensate for slightly imperfect corners. The Angle Head is also part of the Taping process when attached to the FH-AD or XH-AD support handles with the CFA-AD adapter.","AH35-AD","0873876004553","$356.00","356.0","The Asgard® Adjustable Angle Head perfectly feathers the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool's “adjustable” feature refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the angle head. Angle Heads, or Angle Finishers or Corner Finishers, are attached to the CA08-AD corner applicator to q","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4106/5899/asgard-3-5-angle-head__82627.1750258363.jpg?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4106/5898/asgard-3-5-angle-head_1__26966.1750258363.jpg?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4106/5900/asgard-3-5-angle-head_3__92887.1750258363.jpg?c=1&imbypass=on","","","","","",""
"Asgard","Asgard 7"" Flat Box","Asgard 7"" Flat Box: Premium Drywall Tools

Elevate your drywall projects with Asgard Taping Tools by TapeTech, which is known for its durability and functionality without the added markup. The Asgard 7"" Flat Box boasts a sleek black exterior and is compatible with other major brand Flat Box handles. It is constructed from superior-quality alloys and can withstand any job site. The quick-release thumb latches allow for effortless cleaning, and the easy dial adjustment ensures finely controlled, consistent mud output every time. Ideal for applying base coats to flat seams or corner beads, this Flat Box is a must-have for any drywall professional.","EZ07-AD","0873876004508","$299.00","299.0","Elevate your drywall projects with Asgard Taping Tools by TapeTech, which is known for its durability and functionality without the added markup. The Asgard 7"" Flat Box boasts a sleek black exterior and is compatible with other major brand Flat Box handles. It is constructed from superior-quality alloys and can withstand any job site. The quick-release thumb latches allow for effortless cleaning, and the easy dial adjustment ensures finely controlled, consistent mud output every time. Ideal for","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3919/5804/18002_asgard7finishingbox_001__42201.1748975376.jpg?c=1&imbypass=on","","","","","","","",""
"Asgard","Asgard 7"" Power Assist Finishing Box","Asgard 7"" Power Assist Finishing Box

The Asgard 7"" Power Assist Finishing Box

Is your go-to tool for achieving smooth, professional-grade drywall finishes. Designed with power-assisted springs, it reduces application effort, allowing for a more controlled and efficient finish. Its 7"" width makes it perfect for tighter areas and detailed work, consistently delivering consistent results.

Built with rugged aluminum housing and a stainless steel blade, this finishing box ensures durability and precision, project after project. Whether you're blending seams or tackling narrow spaces, the Asgard 7"" Power Assist Finishing Box provides the reliability and performance you need to get the job done right.

Experience superior finishing with Asgard’s innovative design and craftsmanship!","PA07-AD","","$428.00","428.0","Asgard 7"" Power Assist Finishing Box","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3930/5838/screenshot_2024-12-20_100057_-_copy_-_copy__45237.1748975398.png?c=1&imbypass=on","","","","","","","",""
"Asgard","Asgard 8"" Drywall Angle Box","Asgard 8"" Angle Box: Premium Drywall Tools

Elevate your drywall work with Asgard Taping Tools by TapeTech, offering exceptional durability and functionality without the added markup. The Asgard 8"" Angle Box, featuring a sleek silver and black exterior, is designed to hold more compound, enhancing efficiency. Its lightweight aluminum body and durable stainless steel nose cone ensure long-lasting performance on any job site.","CA08-AD","0873876004607","$270.00","270.0","Elevate your drywall work with Asgard Taping Tools by TapeTech, offering exceptional durability and functionality without the added markup. The Asgard 8"" Angle Box, featuring a sleek silver and black exterior, is designed to hold more compound, enhancing efficiency. Its lightweight aluminum body and durable stainless steel nose cone ensure long-lasting performance on any job site.","","","","","","","","",""
"Asgard","Asgard Angle Box w/ Handle (8"" w/ Extendable Handle)","Asgard Angle Box w/ Handle (8"" w/ Extendable Handle)","4I-SJ80-1WRW","0873876005260","$430.00","430.0","Asgard Angle Box w/ Handle (8"" w/ Extendable Handle)","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4656/6239/80001E43-1757605256-114629__19658.1757605577.png?c=1&imbypass=on","","","","","","","",""
"Asgard","Asgard Angle Box w/ Handle (8"" w/ Fixed Handle)","Asgard Angle Box w/ Handle (8"" w/ Fixed Handle)","4K-S6F6-8HQ6","0873876005253","$373.99","373.99","Asgard Angle Box w/ Handle (8"" w/ Fixed Handle)","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4655/6238/80001E42-1757604107-114629__05245.1757604807.png?c=1&imbypass=on","","","","","","","",""
"Asgard","Asgard Angle Head Ball Adapter","Asgard Angle Head Ball Adapter

Simplify your drywall finishing tasks with the

Asgard Angle Head Ball Adapter. This essential accessory connects your angle head to a finishing handle, providing smooth and precise maneuverability for tight corners and angles.","CFA-AD","0873876004829","$40.00","40.0","Asgard Angle Head Ball Adapter","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3970/5781/screenshot_2024-12-20_101231__21322.1748975363.png?c=1&imbypass=on","","","","","","","",""
"Asgard","Asgard Box Filler Adapter","Discover Superior Drywall Tools with Asgard Taping Tools

Asgard Taping Tools by TapeTech deliver exceptional durability and functionality without the added markup. The Asgard filler adapter is designed to work seamlessly with all major brand Loading Pumps, making it ideal for filling Flat Boxes, Angle Boxes, and Nail Spotters.","FA01-AD","0873876004577","$45.00","45.0","Asgard Taping Tools by TapeTech deliver exceptional durability and functionality without the added markup. The Asgard filler adapter is designed to work seamlessly with all major brand Loading Pumps, making it ideal for filling Flat Boxes, Angle Boxes, and Nail Spotters.","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3939/5911/asgard-box-filler-adapter__46240.1750259170.jpg?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3939/5912/asgard-box-filler-adapter_1__60876.1750259170.jpg?c=1&imbypass=on","","","","","","",""
"Asgard","Asgard Brakeless Box Handle","Asgard Brakeless Box Handle

The Asgard Brakeless Box Handle

Delivers effortless control and precision for drywall finishing. Its innovative brakeless design allows for smooth, continuous operation, making it ideal for use with finishing boxes on walls and ceilings.

Crafted from lightweight, durable materials, this handle is built to last while providing a comfortable grip for reduced fatigue during extended use. The sleek, streamlined design ensures reliable performance and ease of use for professional results.

Backed by a 5-year warranty from TapeTech, the Asgard Brakeless Box Handle is a dependable addition to your drywall finishing toolkit.","BBH-AD","","$128.00","128.0","Asgard Brakeless Box Handle","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3935/5768/screenshot_2024-12-20_104238__42849.1748975355.png?c=1&imbypass=on","","","","","","","",""
"Asgard","Asgard Extendable Flat Box Handle","Asgard Extendable Flat Box Handle: Advanced Drywall Tools

Experience the next level of drywall efficiency with Asgard Taping Tools by TapeTech, known for its durability and functionality without the added markup. The Asgard Extendable, Flat Box Handle, is compatible with all major brand Flat Boxes and provides exceptional control for a flawless finish. Featuring the innovative Brake Anywhere design, it eliminates wear issues common with the pinch brake system. This handle extends from 41"" to 63"", allowing you to reach more areas without needing stilts.","FBHE-AD","873876004645","$292.00","292.0","Experience the next level of drywall efficiency with Asgard Taping Tools by TapeTech, known for its durability and functionality without the added markup. The Asgard Extendable, Flat Box Handle, is compatible with all major brand Flat Boxes and provides exceptional control for a flawless finish. Featuring the innovative Brake Anywhere design, it eliminates wear issues common with the pinch brake system. This handle extends from 41"" to 63"", allowing you to reach more areas without needing stilts.","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3966/5908/asgard-extendable-flat-box-handle__87533.1750258981.jpg?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3966/5909/asgard-extendable-flat-box-handle_1__40256.1750258981.jpg?c=1&imbypass=on","","","","","","",""
"Asgard","Asgard Extendable Support Handle","Asgard Extendable Support Handle

The Asgard Extendable Support Handle

Provides unmatched stability and versatility for drywall finishing tasks. Designed to support tools such as corner applicators, angle heads, nail spotters, and rollers, this handle features an extendable design that adjusts effortlessly to accommodate various heights and angles, making it perfect for hard-to-reach areas.

Built with lightweight yet durable materials, it offers excellent control and reduces fatigue, while its ergonomic grip ensures comfortable handling throughout extended projects. The extendable length adds flexibility to your workflow, ensuring you can easily tackle any job.

Backed by a 5-year warranty from TapeTech, the Asgard Extendable Support Handle is a reliable choice for professional-quality results.","XH-AD","873876004744","$163.00","163.0","Asgard Extendable Support Handle","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/3923/5897/screenshot_2024-12-20_140015__76172.1748975432.png?c=1&imbypass=on","","","","","","","",""
"Asgard","Asgard Full Taping Tool Set - PRO GRADE (10/12 Standard Full Set)","Asgard Full Taping Tool Set - PRO GRADE (10/12 Standard Full Set)

Includes the following;

HAMMER AUTOMATIC TAPER

AT01-AD

ASGARD INSIDE CORNER ROLLER

CR01-AD

3"" ASGARD ANGLE HEAD

AH30-AD

3-ASGARD FIBERGLASS SUPPORT HANDLE

FH-AD

ASGARD ANGLE HEAD ADAPTER

CFA-AD

ASGARD 8"" CORNER APLICATOR

CA08-AD

10"" ASGARD FINSH BOX

EZ10-AD

12"" ASGARD FINISH BOX

EZ12-AD

ASGARD EXTENDABLE FINISHING BOX HANDLE

FBHE-AD

ASGARD LOADING PUMP

LP01-AD

ASGARD GOOSENECK

GN01-AD

ASGARD FILLER ADAPTER

FA01-AD

Asgard drywall tools

Are built for professionals, offering the performance and durability you need to achieve a true level 5 finish without breaking the bank. As part of the extensive

TapeTech service network, every tool is backed by a

5-year limited warranty, providing peace of mind and reliable support. Our full line of automatic taping and finishing tools—including flat boxes, pumps, angle heads, and more—delivers exceptional quality and value, making it easy to get the job done right.","9R-PIR7-OTNL","0873876005376","$3,670.00","3670.0","Includes the following;","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4630/6146/aSGARD_SET__86953.1755799458.png?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4630/6150/AT01-AD_Front__59489.1755799458.png?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4630/6149/Asgard_EZ_Box_Set_BBHE__65426.1755799458.png?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4630/6152/AH30-AD_Hero__56580.1755799458.png?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4630/6151/CA08-AD_Hero__08415.1755799458.png?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4630/6147/CFA-AD_Attached_to_Handle__60485.1755799458.png?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4630/6148/CR01-AD__84591.1755799458.png?c=1&imbypass=on","https://cdn11.bigcommerce.com/s-dbb3r9a7se/images/stencil/1280x1280/products/4630/6145/FH-AD_1__59156.1755799458.png?c=1&imbypass=on",""
